time;V(/OUT_N);V(/OUT_SINGLE);
9.00682;1.27471;4.67788;
9.00683;1.2762;4.68618;
9.00684;1.27787;4.69567;
9.00685;1.27972;4.70633;
9.00686;1.28174;4.7181;
9.00687;1.28393;4.73095;
9.00688;1.28627;4.74481;
9.00689;1.28877;4.75965;
9.0069;1.2914;4.77539;
9.00691;1.29416;4.79198;
9.00692;1.29703;4.80935;
9.00693;1.30001;4.82743;
9.00694;1.30309;4.84616;
9.00695;1.30624;4.86545;
9.00696;1.30946;4.88523;
9.00697;1.31274;4.90543;
9.00698;1.31606;4.92595;
9.00699;1.31942;4.94674;
9.007;1.32279;4.96769;
9.00701;1.32616;4.98872;
9.00702;1.32952;5.00976;
9.00703;1.33286;5.03073;
9.00704;1.33616;5.05153;
9.00705;1.33942;5.07208;
9.00706;1.34261;5.09231;
9.00707;1.34572;5.11214;
9.00708;1.34875;5.13148;
9.00709;1.35168;5.15027;
9.0071;1.3545;5.16841;
9.00711;1.3572;5.18586;
9.00712;1.35977;5.20253;
9.00713;1.36219;5.21835;
9.00714;1.36446;5.23328;
9.00715;1.36657;5.24725;
9.00716;1.36851;5.26019;
9.00717;1.37027;5.27207;
9.00718;1.37185;5.28284;
9.00719;1.37323;5.29245;
9.0072;1.37443;5.30087;
9.00721;1.37542;5.30805;
9.00722;1.37621;5.31399;
9.00723;1.37679;5.31864;
9.00724;1.37716;5.32199;
9.00725;1.37732;5.32404;
9.00726;1.37726;5.32476;
9.00727;1.377;5.32417;
9.00728;1.37652;5.32225;
9.00729;1.37584;5.31902;
9.0073;1.37495;5.3145;
9.00731;1.37386;5.30869;
9.00732;1.37257;5.30162;
9.00733;1.37108;5.29333;
9.00734;1.36941;5.28383;
9.00735;1.36756;5.27318;
9.00736;1.36554;5.2614;
9.00737;1.36335;5.24856;
9.00738;1.361;5.23469;
9.00739;1.3585;5.21985;
9.0074;1.35587;5.20411;
9.00741;1.35311;5.18752;
9.00742;1.35024;5.17015;
9.00743;1.34726;5.15207;
9.00744;1.34418;5.13334;
9.00745;1.34103;5.11405;
9.00746;1.3378;5.09427;
9.00747;1.33452;5.07407;
9.00748;1.3312;5.05355;
9.00749;1.32785;5.03277;
9.0075;1.32448;5.01182;
9.00751;1.32111;4.99078;
9.00752;1.31774;4.96974;
9.00753;1.3144;4.94878;
9.00754;1.3111;4.92797;
9.00755;1.30785;4.90742;
9.00756;1.30466;4.88719;
9.00757;1.30154;4.86736;
9.00758;1.29851;4.84802;
9.00759;1.29558;4.82924;
9.0076;1.29277;4.81109;
9.00761;1.29007;4.79364;
9.00762;1.28751;4.77698;
9.00763;1.28509;4.76115;
9.00764;1.28282;4.74622;
9.00765;1.28071;4.73226;
9.00766;1.27877;4.71931;
9.00767;1.27701;4.70743;
9.00768;1.27543;4.69666;
9.00769;1.27405;4.68705;
9.0077;1.27285;4.67863;
9.00771;1.27186;4.67145;
9.00772;1.27108;4.66552;
9.00773;1.2705;4.66086;
9.00774;1.27013;4.65751;
9.00775;1.26997;4.65546;
9.00776;1.27002;4.65474;
9.00777;1.27028;4.65533;
9.00778;1.27076;4.65725;
9.00779;1.27144;4.66048;
9.0078;1.27233;4.665;
9.00781;1.27342;4.67081;
9.00782;1.27471;4.67788;
9.00783;1.27619;4.68618;
9.00784;1.27786;4.69567;
9.00785;1.27971;4.70633;
9.00786;1.28174;4.7181;
9.00787;1.28393;4.73095;
9.00788;1.28627;4.74481;
9.00789;1.28877;4.75965;
9.0079;1.2914;4.77539;
9.00791;1.29416;4.79198;
9.00792;1.29703;4.80935;
9.00793;1.30001;4.82743;
9.00794;1.30308;4.84616;
9.00795;1.30624;4.86545;
9.00796;1.30946;4.88523;
9.00797;1.31274;4.90543;
9.00798;1.31606;4.92595;
9.00799;1.31942;4.94674;
9.008;1.32278;4.96769;
9.00801;1.32616;4.98872;
9.00802;1.32952;5.00976;
9.00803;1.33286;5.03073;
