time;V(/OUT_N);V(/OUT_SINGLE);user1;
0.203267;1.31752;3.16572;-0.0051363;
0.203277;1.31707;3.16626;-0.00502967;
0.203287;1.31639;3.16406;-0.00492299;
0.203297;1.31546;3.15911;-0.00481669;
0.203307;1.31429;3.15144;-0.00471117;
0.203317;1.3129;3.14107;-0.00460686;
0.203327;1.31128;3.12806;-0.00450417;
0.203337;1.30944;3.11244;-0.00440349;
0.203347;1.30738;3.09429;-0.00430522;
0.203357;1.30512;3.07366;-0.00420975;
0.203367;1.30267;3.05065;-0.00411745;
0.203377;1.30003;3.02535;-0.00402869;
0.203387;1.29722;2.99784;-0.00394383;
0.203397;1.29424;2.96825;-0.00386319;
0.203407;1.29111;2.93668;-0.00378709;
0.203417;1.28784;2.90327;-0.00371584;
0.203427;1.28444;2.86814;-0.00364972;
0.203437;1.28092;2.83143;-0.003589;
0.203447;1.27731;2.79329;-0.0035339;
0.203457;1.27361;2.75387;-0.00348467;
0.203467;1.26984;2.71332;-0.00344148;
0.203477;1.26602;2.6718;-0.00340451;
0.203487;1.26215;2.62948;-0.00337392;
0.203497;1.25826;2.58653;-0.00334982;
0.203507;1.25436;2.54311;-0.00333231;
0.203517;1.25046;2.4994;-0.00332145;
0.203527;1.24658;2.45556;-0.0033173;
0.203537;1.24274;2.41178;-0.00331986;
0.203547;1.23895;2.36822;-0.00332914;
0.203557;1.23523;2.32507;-0.00334508;
0.203567;1.23158;2.28248;-0.00336762;
0.203577;1.22804;2.24062;-0.00339668;
0.203587;1.2246;2.19967;-0.00343213;
0.203597;1.22128;2.15978;-0.00347384;
0.203607;1.2181;2.12112;-0.00352164;
0.203617;1.21506;2.08382;-0.00357533;
0.203627;1.21219;2.04805;-0.0036347;
0.203637;1.20949;2.01394;-0.00369951;
0.203647;1.20697;1.98163;-0.00376951;
0.203657;1.20464;1.95124;-0.00384441;
0.203667;1.20252;1.9229;-0.00392392;
0.203677;1.2006;1.89671;-0.00400772;
0.203687;1.1989;1.87277;-0.00409549;
0.203697;1.19743;1.85119;-0.00418686;
0.203707;1.19618;1.83205;-0.0042815;
0.203717;1.19517;1.81542;-0.00437901;
0.203727;1.19439;1.80137;-0.00447901;
0.203737;1.19386;1.78995;-0.00458112;
0.203747;1.19357;1.78121;-0.00468492;
0.203757;1.19352;1.77518;-0.00479002;
0.203767;1.19372;1.77189;-0.004896;
0.203777;1.19417;1.77134;-0.00500244;
0.203787;1.19485;1.77355;-0.00510893;
0.203797;1.19578;1.7785;-0.00521504;
0.203807;1.19694;1.78617;-0.00532037;
0.203817;1.19833;1.79653;-0.00542449;
0.203827;1.19995;1.80955;-0.00552699;
0.203837;1.20179;1.82516;-0.00562749;
0.203847;1.20384;1.84332;-0.00572556;
0.203857;1.20609;1.86394;-0.00582084;
0.203867;1.20854;1.88696;-0.00591295;
0.203877;1.21118;1.91226;-0.00600151;
0.203887;1.21399;1.93977;-0.00608619;
0.203897;1.21696;1.96936;-0.00616664;
0.203907;1.22009;2.00093;-0.00624254;
0.203917;1.22336;2.03434;-0.0063136;
0.203927;1.22675;2.06947;-0.00637953;
0.203937;1.23026;2.10618;-0.00644006;
0.203947;1.23387;2.14432;-0.00649496;
0.203957;1.23756;2.18375;-0.00654401;
0.203967;1.24133;2.2243;-0.006587;
0.203977;1.24515;2.26582;-0.00662377;
0.203987;1.24902;2.30813;-0.00665417;
0.203997;1.25291;2.35109;-0.00667808;
0.204007;1.25681;2.39451;-0.0066954;
0.204017;1.2607;2.43822;-0.00670606;
0.204027;1.26458;2.48206;-0.00671002;
0.204037;1.26842;2.52584;-0.00670726;
0.204047;1.27221;2.5694;-0.0066978;
0.204057;1.27593;2.61256;-0.00668166;
0.204067;1.27957;2.65515;-0.00665893;
0.204077;1.28312;2.697;-0.00662968;
0.204087;1.28656;2.73795;-0.00659403;
0.204097;1.28988;2.77784;-0.00655213;
0.204107;1.29306;2.81651;-0.00650414;
0.204117;1.29609;2.8538;-0.00645026;
0.204127;1.29897;2.88957;-0.0063907;
0.204137;1.30167;2.92368;-0.00632569;
0.204147;1.30419;2.956;-0.00625551;
0.204157;1.30652;2.98638;-0.00618041;
0.204167;1.30864;3.01473;-0.00610071;
0.204177;1.31056;3.04092;-0.00601671;
0.204187;1.31226;3.06485;-0.00592876;
0.204197;1.31374;3.08643;-0.00583719;
0.204207;1.31498;3.10557;-0.00574237;
0.204217;1.31599;3.1222;-0.00564467;
0.204227;1.31677;3.13626;-0.00554447;
0.204237;1.3173;3.14768;-0.00544218;
0.204247;1.31759;3.15642;-0.00533818;
0.204257;1.31763;3.16245;-0.00523289;
0.204267;1.31743;3.16574;-0.00512672;
0.204277;1.31698;3.16629;-0.00502009;
0.204287;1.31629;3.16408;-0.00491342;
0.204297;1.31537;3.15913;-0.00480711;
0.204307;1.3142;3.15146;-0.0047016;
0.204317;1.31281;3.1411;-0.00459729;
0.204327;1.31118;3.12809;-0.00449459;
0.204337;1.30934;3.11247;-0.00439391;
0.204347;1.30729;3.09431;-0.00429564;
0.204357;1.30503;3.07369;-0.00420017;
0.204367;1.30258;3.05068;-0.00410788;
0.204377;1.29994;3.02537;-0.00401912;
0.204387;1.29712;2.99787;-0.00393426;
0.204397;1.29415;2.96827;-0.00385361;
0.204407;1.29101;2.93671;-0.00377752;
0.204417;1.28774;2.9033;-0.00370627;
0.204427;1.28434;2.86817;-0.00364015;
0.204437;1.28083;2.83146;-0.00357942;
0.204447;1.27722;2.79332;-0.00352433;
0.204457;1.27352;2.75389;-0.00347509;
0.204467;1.26975;2.71334;-0.00343191;
0.204477;1.26593;2.67183;-0.00339494;
0.204487;1.26206;2.62951;-0.00336435;
0.204497;1.25817;2.58656;-0.00334025;
0.204507;1.25427;2.54314;-0.00332273;
0.204517;1.25037;2.49942;-0.00331188;
0.204527;1.24649;2.45559;-0.00330773;
0.204537;1.24265;2.41181;-0.00331029;
0.204547;1.23886;2.36825;-0.00331957;
0.204557;1.23514;2.32509;-0.00333551;
0.204567;1.23149;2.2825;-0.00335805;
0.204577;1.22794;2.24065;-0.00338711;
0.204587;1.2245;2.1997;-0.00342256;
0.204597;1.22119;2.15981;-0.00346427;
0.204607;1.21801;2.12114;-0.00351207;
0.204617;1.21497;2.08385;-0.00356576;
0.204627;1.2121;2.04808;-0.00362513;
0.204637;1.2094;2.01397;-0.00368994;
0.204647;1.20688;1.98166;-0.00375994;
0.204657;1.20455;1.95127;-0.00383484;
0.204667;1.20243;1.92292;-0.00391435;
0.204677;1.20051;1.89673;-0.00399815;
0.204687;1.19881;1.8728;-0.00408592;
0.204697;1.19733;1.85122;-0.00417729;
0.204707;1.19609;1.83208;-0.00427193;
0.204717;1.19507;1.81545;-0.00436944;
0.204727;1.1943;1.8014;-0.00446944;
0.204737;1.19377;1.78998;-0.00457155;
0.204747;1.19348;1.78124;-0.00467536;
0.204757;1.19343;1.77521;-0.00478045;
0.204767;1.19363;1.77191;-0.00488643;
0.204777;1.19408;1.77137;-0.00499287;
0.204787;1.19476;1.77357;-0.00509936;
0.204797;1.19569;1.77852;-0.00520547;
0.204807;1.19685;1.78619;-0.0053108;
0.204817;1.19824;1.79656;-0.00541492;
0.204827;1.19986;1.80957;-0.00551743;
0.204837;1.20169;1.82519;-0.00561792;
0.204847;1.20374;1.84335;-0.005716;
0.204857;1.206;1.86397;-0.00581128;
0.204867;1.20845;1.88698;-0.00590338;
0.204877;1.21108;1.91229;-0.00599195;
0.204887;1.21389;1.93979;-0.00607662;
0.204897;1.21687;1.96939;-0.00615707;
0.204907;1.22;2.00096;-0.00623297;
0.204917;1.22326;2.03437;-0.00630403;
0.204927;1.22666;2.0695;-0.00636996;
0.204937;1.23017;2.10621;-0.00643049;
0.204947;1.23378;2.14435;-0.00648539;
0.204957;1.23747;2.18377;-0.00653444;
0.204967;1.24124;2.22432;-0.00657743;
0.204977;1.24506;2.26584;-0.00661421;
0.204987;1.24892;2.30816;-0.00664461;
0.204997;1.25281;2.35112;-0.00666852;
0.205007;1.25671;2.39454;-0.00668583;
0.205017;1.26061;2.43825;-0.0066965;
0.205027;1.26449;2.48208;-0.00670046;
0.205037;1.26833;2.52587;-0.0066977;
0.205047;1.27212;2.56942;-0.00668823;
0.205057;1.27584;2.61258;-0.0066721;
0.205067;1.27948;2.65517;-0.00664936;
0.205077;1.28303;2.69703;-0.00662011;
0.205087;1.28647;2.73798;-0.00658446;
0.205097;1.28979;2.77787;-0.00654256;
0.205107;1.29297;2.81653;-0.00649458;
0.205117;1.296;2.85383;-0.00644069;
0.205127;1.29888;2.8896;-0.00638113;
0.205137;1.30158;2.92371;-0.00631613;
0.205147;1.3041;2.95602;-0.00624594;
0.205157;1.30642;2.98641;-0.00617085;
0.205167;1.30855;3.01476;-0.00609115;
0.205177;1.31047;3.04095;-0.00600715;
0.205187;1.31217;3.06488;-0.0059192;
0.205197;1.31364;3.08646;-0.00582763;
0.205207;1.31489;3.1056;-0.00573281;
0.205217;1.3159;3.12223;-0.00563511;
0.205227;1.31667;3.13628;-0.00553491;
0.205237;1.31721;3.1477;-0.00543261;
0.205247;1.31749;3.15644;-0.00532862;
0.205257;1.31754;3.16247;-0.00522333;
0.205267;1.31734;3.16577;-0.00511716;
0.205277;1.31689;3.16631;-0.00501053;
0.205287;1.3162;3.16411;-0.00490385;
0.205297;1.31527;3.15916;-0.00479755;
0.205307;1.31411;3.15149;-0.00469204;
0.205317;1.31271;3.14113;-0.00458773;
0.205327;1.31109;3.12811;-0.00448503;
0.205337;1.30925;3.1125;-0.00438435;
0.205347;1.3072;3.09434;-0.00428608;
0.205357;1.30494;3.07372;-0.00419061;
0.205367;1.30249;3.05071;-0.00409832;
0.205377;1.29985;3.0254;-0.00400956;
0.205387;1.29703;2.99789;-0.00392469;
0.205397;1.29405;2.9683;-0.00384405;
0.205407;1.29092;2.93674;-0.00376796;
0.205417;1.28765;2.90332;-0.00369671;
0.205427;1.28425;2.86819;-0.00363059;
0.205437;1.28074;2.83148;-0.00356986;
0.205447;1.27713;2.79334;-0.00351477;
0.205457;1.27343;2.75392;-0.00346553;
0.205467;1.26966;2.71337;-0.00342235;
0.205477;1.26583;2.67185;-0.00338538;
0.205487;1.26197;2.62954;-0.00335479;
0.205497;1.25808;2.58658;-0.00333069;
0.205507;1.25417;2.54316;-0.00331318;
0.205517;1.25028;2.49945;-0.00330232;
0.205527;1.2464;2.45561;-0.00329817;
0.205537;1.24256;2.41183;-0.00330073;
0.205547;1.23877;2.36828;-0.00331001;
0.205557;1.23504;2.32512;-0.00332595;
0.205567;1.2314;2.28253;-0.00334849;
0.205577;1.22785;2.24067;-0.00337755;
0.205587;1.22441;2.19972;-0.00341301;
0.205597;1.22109;2.15983;-0.00345471;
0.205607;1.21791;2.12117;-0.00350251;
0.205617;1.21488;2.08387;-0.0035562;
0.205627;1.21201;2.0481;-0.00361557;
0.205637;1.20931;2.01399;-0.00368038;
0.205647;1.20679;1.98168;-0.00375038;
0.205657;1.20446;1.95129;-0.00382528;
0.205667;1.20233;1.92295;-0.00390479;
0.205677;1.20042;1.89676;-0.00398859;
0.205687;1.19872;1.87283;-0.00407636;
0.205697;1.19724;1.85125;-0.00416774;
0.205707;1.19599;1.8321;-0.00426237;
0.205717;1.19498;1.81547;-0.00435988;
0.205727;1.19421;1.80142;-0.00445988;
0.205737;1.19367;1.79;-0.00456199;
0.205747;1.19338;1.78126;-0.0046658;
0.205757;1.19334;1.77523;-0.0047709;
0.205767;1.19354;1.77194;-0.00487688;
0.205777;1.19398;1.77139;-0.00498332;
0.205787;1.19467;1.7736;-0.0050898;
0.205797;1.19559;1.77855;-0.00519592;
0.205807;1.19675;1.78622;-0.00530124;
0.205817;1.19815;1.79658;-0.00540536;
0.205827;1.19976;1.8096;-0.00550787;
0.205837;1.2016;1.82522;-0.00560836;
0.205847;1.20365;1.84337;-0.00570644;
0.205857;1.20591;1.864;-0.00580172;
0.205867;1.20836;1.88701;-0.00589382;
0.205877;1.21099;1.91232;-0.00598239;
0.205887;1.2138;1.93982;-0.00606706;
0.205897;1.21678;1.96941;-0.00614751;
0.205907;1.2199;2.00098;-0.00622342;
0.205917;1.22317;2.0344;-0.00629448;
0.205927;1.22657;2.06953;-0.0063604;
0.205937;1.23007;2.10624;-0.00642094;
0.205947;1.23368;2.14438;-0.00647584;
0.205957;1.23738;2.1838;-0.00652488;
0.205967;1.24114;2.22435;-0.00656788;
0.205977;1.24497;2.26587;-0.00660465;
0.205987;1.24883;2.30819;-0.00663505;
0.205997;1.25272;2.35114;-0.00665896;
0.206007;1.25662;2.39456;-0.00667628;
0.206017;1.26052;2.43828;-0.00668694;
0.206027;1.26439;2.48211;-0.0066909;
0.206037;1.26823;2.52589;-0.00668814;
