time;V(/OUT_N);V(/OUT_P);V(/OUT_SINGLE);V(/SE_IN+);
9.00258;2.07122;2.07199;7.34685;7.46648;
9.00259;2.06807;2.06883;7.3267;7.46334;
9.0026;2.06504;2.06577;7.3072;7.4603;
9.00261;2.06213;2.06283;7.28842;7.45739;
9.00262;2.05936;2.06003;7.27043;7.45462;
9.00263;2.05673;2.05737;7.2533;7.452;
9.00264;2.05427;2.05487;7.23711;7.44953;
9.00265;2.05197;2.05253;7.22192;7.44723;
9.00266;2.04984;2.05037;7.20778;7.44511;
9.00267;2.0479;2.04839;7.19476;7.44317;
9.00268;2.04616;2.0466;7.1829;7.44142;
9.00269;2.04461;2.04501;7.17225;7.43988;
9.0027;2.04327;2.04362;7.16285;7.43854;
9.00271;2.04214;2.04244;7.15474;7.43741;
9.00272;2.04122;2.04147;7.14795;7.43649;
9.00273;2.04053;2.04073;7.14251;7.4358;
9.00274;2.04005;2.0402;7.13844;7.43532;
9.00275;2.0398;2.0399;7.13576;7.43507;
9.00276;2.03977;2.03982;7.13447;7.43505;
9.00277;2.03997;2.03996;7.13459;7.43524;
9.00278;2.04039;2.04033;7.1361;7.43567;
9.00279;2.04104;2.04092;7.13901;7.43631;
9.0028;2.0419;2.04174;7.14331;7.43717;
9.00281;2.04298;2.04276;7.14897;7.43825;
9.00282;2.04427;2.044;7.15598;7.43954;
9.00283;2.04577;2.04545;7.1643;7.44104;
9.00284;2.04747;2.0471;7.1739;7.44274;
9.00285;2.04936;2.04895;7.18476;7.44464;
9.00286;2.05144;2.05099;7.19681;7.44672;
9.00287;2.0537;2.0532;7.21002;7.44898;
9.00288;2.05613;2.05559;7.22434;7.4514;
9.00289;2.05871;2.05814;7.2397;7.45399;
9.0029;2.06145;2.06084;7.25604;7.45673;
9.00291;2.06433;2.06368;7.27331;7.45961;
9.00292;2.06733;2.06665;7.29144;7.46261;
9.00293;2.07045;2.06974;7.31034;7.46573;
9.00294;2.07368;2.07294;7.32996;7.46896;
9.00295;2.07699;2.07623;7.3502;7.47227;
9.00296;2.08039;2.07961;7.37099;7.47567;
9.00297;2.08384;2.08305;7.39226;7.47912;
9.00298;2.08735;2.08654;7.4139;7.48263;
9.00299;2.09089;2.09007;7.43585;7.48618;
9.003;2.09446;2.09363;7.45801;7.48974;
9.00301;2.09804;2.09721;7.48029;7.49332;
9.00302;2.10161;2.10078;7.50261;7.49689;
9.00303;2.10516;2.10433;7.52488;7.50044;
9.00304;2.10868;2.10785;7.54701;7.50396;
9.00305;2.11215;2.11133;7.56891;7.50743;
9.00306;2.11556;2.11475;7.5905;7.51084;
9.00307;2.11889;2.1181;7.61169;7.51418;
9.00308;2.12214;2.12137;7.6324;7.51742;
9.00309;2.12529;2.12454;7.65255;7.52057;
9.0031;2.12832;2.1276;7.67205;7.5236;
9.00311;2.13123;2.13053;7.69083;7.52651;
9.00312;2.13401;2.13334;7.70882;7.52929;
9.00313;2.13663;2.13599;7.72595;7.53191;
9.00314;2.1391;2.1385;7.74214;7.53438;
9.00315;2.1414;2.14083;7.75733;7.53668;
9.00316;2.14352;2.143;7.77147;7.5388;
9.00317;2.14546;2.14498;7.78449;7.54074;
9.00318;2.14721;2.14677;7.79636;7.54249;
9.00319;2.14876;2.14836;7.80701;7.54403;
9.0032;2.1501;2.14975;7.8164;7.54537;
9.00321;2.15123;2.15093;7.82451;7.5465;
9.00322;2.15214;2.15189;7.8313;7.54742;
9.00323;2.15284;2.15264;7.83674;7.54812;
9.00324;2.15332;2.15317;7.84081;7.54859;
9.00325;2.15357;2.15347;7.84349;7.54884;
9.00326;2.15359;2.15355;7.84478;7.54887;
9.00327;2.1534;2.15341;7.84466;7.54867;
9.00328;2.15298;2.15304;7.84315;7.54825;
9.00329;2.15233;2.15244;7.84024;7.5476;
9.0033;2.15147;2.15163;7.83594;7.54674;
9.00331;2.15039;2.1506;7.83028;7.54566;
9.00332;2.1491;2.14936;7.82328;7.54437;
9.00333;2.1476;2.14791;7.81495;7.54287;
9.00334;2.1459;2.14626;7.80535;7.54117;
9.00335;2.14401;2.14442;7.7945;7.53928;
9.00336;2.14193;2.14238;7.78244;7.5372;
9.00337;2.13967;2.14016;7.76923;7.53494;
9.00338;2.13724;2.13778;7.75492;7.53251;
9.00339;2.13465;2.13523;7.73955;7.52992;
9.0034;2.13191;2.13253;7.72321;7.52718;
9.00341;2.12903;2.12968;7.70594;7.5243;
9.00342;2.12603;2.12671;7.68781;7.5213;
9.00343;2.12291;2.12362;7.66891;7.51818;
9.00344;2.11968;2.12042;7.64929;7.51495;
9.00345;2.11637;2.11713;7.62905;7.51164;
9.00346;2.11297;2.11375;7.60826;7.50824;
9.00347;2.10952;2.11031;7.58699;7.50478;
9.00348;2.10601;2.10682;7.56535;7.50128;
9.00349;2.10246;2.10329;7.5434;7.49773;
9.0035;2.0989;2.09973;7.52124;7.49416;
9.00351;2.09532;2.09615;7.49896;7.49059;
9.00352;2.09175;2.09258;7.47664;7.48702;
9.00353;2.0882;2.08903;7.45437;7.48347;
9.00354;2.08468;2.08551;7.43224;7.47995;
9.00355;2.08121;2.08203;7.41034;7.47648;
9.00356;2.0778;2.07861;7.38875;7.47307;
9.00357;2.07447;2.07526;7.36756;7.46973;
9.00358;2.07122;2.07199;7.34685;7.46649;
9.00359;2.06807;2.06882;7.3267;7.46334;
9.0036;2.06504;2.06577;7.3072;7.46031;
9.00361;2.06213;2.06283;7.28842;7.4574;
9.00362;2.05936;2.06003;7.27043;7.45463;
9.00363;2.05673;2.05737;7.2533;7.452;
9.00364;2.05426;2.05487;7.23711;7.44954;
9.00365;2.05196;2.05253;7.22192;7.44724;
9.00366;2.04984;2.05037;7.20778;7.44511;
9.00367;2.0479;2.04839;7.19476;7.44318;
9.00368;2.04616;2.0466;7.1829;7.44143;
9.00369;2.04461;2.045;7.17225;7.43988;
9.0037;2.04327;2.04362;7.16285;7.43854;
9.00371;2.04214;2.04244;7.15474;7.43741;
9.00372;2.04122;2.04147;7.14795;7.4365;
9.00373;2.04053;2.04073;7.14251;7.4358;
9.00374;2.04005;2.0402;7.13844;7.43533;
9.00375;2.0398;2.0399;7.13576;7.43508;
9.00376;2.03977;2.03982;7.13447;7.43505;
9.00377;2.03997;2.03996;7.13459;7.43525;
9.00378;2.04039;2.04033;7.1361;7.43567;
9.00379;2.04103;2.04092;7.13901;7.43632;
9.0038;2.0419;2.04173;7.14331;7.43718;
9.00381;2.04298;2.04276;7.14897;7.43826;
9.00382;2.04427;2.044;7.15598;7.43955;
9.00383;2.04577;2.04545;7.1643;7.44105;
9.00384;2.04746;2.0471;7.1739;7.44275;
9.00385;2.04936;2.04895;7.18476;7.44464;
9.00386;2.05144;2.05098;7.19681;7.44672;
9.00387;2.0537;2.0532;7.21002;7.44898;
9.00388;2.05612;2.05558;7.22434;7.45141;
9.00389;2.05871;2.05813;7.2397;7.454;
9.0039;2.06145;2.06084;7.25604;7.45674;
9.00391;2.06433;2.06368;7.27331;7.45961;
9.00392;2.06733;2.06665;7.29144;7.46262;
9.00393;2.07045;2.06974;7.31034;7.46574;
9.00394;2.07368;2.07294;7.32996;7.46896;
9.00395;2.07699;2.07623;7.3502;7.47228;
9.00396;2.08038;2.0796;7.37099;7.47567;
9.00397;2.08384;2.08304;7.39226;7.47913;
9.00398;2.08735;2.08654;7.4139;7.48264;
9.00399;2.09089;2.09007;7.43585;7.48618;
9.004;2.09446;2.09363;7.45801;7.48975;
9.00401;2.09804;2.0972;7.48029;7.49333;
9.00402;2.10161;2.10077;7.50261;7.4969;
9.00403;2.10516;2.10433;7.52488;7.50045;
9.00404;2.10868;2.10785;7.54701;7.50397;
9.00405;2.11215;2.11133;7.56891;7.50744;
9.00406;2.11556;2.11475;7.5905;7.51085;
9.00407;2.11889;2.1181;7.61169;7.51418;
9.00408;2.12214;2.12137;7.6324;7.51743;
9.00409;2.12529;2.12454;7.65255;7.52058;
9.0041;2.12832;2.12759;7.67205;7.52361;
9.00411;2.13123;2.13053;7.69083;7.52652;
9.00412;2.134;2.13333;7.70882;7.52929;
9.00413;2.13663;2.13599;7.72595;7.53192;
9.00414;2.1391;2.13849;7.74214;7.53438;
9.00415;2.1414;2.14083;7.75733;7.53668;
9.00416;2.14352;2.143;7.77147;7.53881;
9.00417;2.14546;2.14498;7.78449;7.54075;
9.00418;2.14721;2.14677;7.79636;7.54249;
9.00419;2.14875;2.14836;7.80701;7.54404;
9.0042;2.1501;2.14975;7.8164;7.54538;
9.00421;2.15123;2.15093;7.82451;7.54651;
9.00422;2.15214;2.15189;7.8313;7.54743;
9.00423;2.15284;2.15264;7.83674;7.54812;
9.00424;2.15331;2.15317;7.84081;7.5486;
9.00425;2.15356;2.15347;7.84349;7.54885;
9.00426;2.15359;2.15355;7.84478;7.54887;
9.00427;2.15339;2.1534;7.84466;7.54868;
9.00428;2.15297;2.15303;7.84315;7.54825;
9.00429;2.15233;2.15244;7.84024;7.54761;
9.0043;2.15147;2.15163;7.83594;7.54675;
9.00431;2.15039;2.1506;7.83028;7.54567;
9.00432;2.1491;2.14936;7.82328;7.54437;
9.00433;2.1476;2.14791;7.81495;7.54288;
9.00434;2.1459;2.14626;7.80535;7.54118;
9.00435;2.144;2.14441;7.7945;7.53928;
9.00436;2.14192;2.14238;7.78244;7.5372;
9.00437;2.13966;2.14016;7.76923;7.53494;
9.00438;2.13724;2.13777;7.75492;7.53251;
9.00439;2.13465;2.13522;7.73955;7.52992;
9.0044;2.13191;2.13252;7.72321;7.52719;
9.00441;2.12903;2.12968;7.70594;7.52431;
9.00442;2.12603;2.12671;7.68781;7.5213;
9.00443;2.12291;2.12361;7.66891;7.51818;
9.00444;2.11968;2.12042;7.64929;7.51496;
9.00445;2.11637;2.11712;7.62905;7.51164;
9.00446;2.11297;2.11375;7.60826;7.50825;
9.00447;2.10951;2.11031;7.58699;7.50479;
9.00448;2.10601;2.10682;7.56535;7.50128;
9.00449;2.10246;2.10328;7.5434;7.49774;
9.0045;2.09889;2.09972;7.52124;7.49417;
9.00451;2.09532;2.09615;7.49896;7.49059;
9.00452;2.09175;2.09258;7.47664;7.48702;
9.00453;2.0882;2.08903;7.45437;7.48347;
9.00454;2.08468;2.0855;7.43224;7.47995;
9.00455;2.08121;2.08203;7.41034;7.47648;
9.00456;2.0778;2.0786;7.38875;7.47307;
9.00457;2.07446;2.07525;7.36756;7.46974;
9.00458;2.07122;2.07199;7.34685;7.46649;
9.00459;2.06807;2.06882;7.3267;7.46335;
9.0046;2.06504;2.06576;7.3072;7.46031;
9.00461;2.06213;2.06283;7.28842;7.4574;
9.00462;2.05935;2.06002;7.27043;7.45463;
9.00463;2.05673;2.05737;7.2533;7.45201;
9.00464;2.05426;2.05486;7.23711;7.44954;
9.00465;2.05196;2.05253;7.22192;7.44724;
9.00466;2.04984;2.05036;7.20778;7.44512;
9.00467;2.0479;2.04838;7.19476;7.44318;
9.00468;2.04615;2.04659;7.1829;7.44144;
9.00469;2.04461;2.045;7.17225;7.43989;
9.0047;2.04327;2.04361;7.16285;7.43855;
9.00471;2.04213;2.04243;7.15474;7.43742;
9.00472;2.04122;2.04147;7.14795;7.4365;
9.00473;2.04052;2.04072;7.14251;7.43581;
9.00474;2.04005;2.0402;7.13844;7.43533;
9.00475;2.0398;2.03989;7.13576;7.43508;
9.00476;2.03977;2.03981;7.13447;7.43506;
9.00477;2.03997;2.03996;7.13459;7.43526;
9.00478;2.04039;2.04033;7.1361;7.43568;
9.00479;2.04103;2.04092;7.13901;7.43632;
9.0048;2.04189;2.04173;7.14331;7.43718;
9.00481;2.04297;2.04276;7.14897;7.43826;
9.00482;2.04426;2.044;7.15598;7.43956;
9.00483;2.04576;2.04545;7.1643;7.44105;
9.00484;2.04746;2.0471;7.1739;7.44275;
9.00485;2.04935;2.04895;7.18476;7.44465;
9.00486;2.05143;2.05098;7.19681;7.44673;
9.00487;2.05369;2.0532;7.21002;7.44899;
9.00488;2.05612;2.05558;7.22434;7.45141;
9.00489;2.05871;2.05813;7.2397;7.454;
9.0049;2.06145;2.06083;7.25604;7.45674;
9.00491;2.06432;2.06368;7.27331;7.45962;
9.00492;2.06733;2.06665;7.29144;7.46262;
9.00493;2.07045;2.06974;7.31034;7.46574;
9.00494;2.07367;2.07294;7.32996;7.46897;
9.00495;2.07699;2.07623;7.3502;7.47228;
9.00496;2.08038;2.0796;7.37099;7.47568;
9.00497;2.08384;2.08304;7.39226;7.47913;
9.00498;2.08735;2.08653;7.4139;7.48264;
9.00499;2.09089;2.09007;7.43585;7.48619;
9.005;2.09446;2.09363;7.45801;7.48975;
9.00501;2.09803;2.0972;7.48029;7.49333;
9.00502;2.1016;2.10077;7.50261;7.4969;
9.00503;2.10516;2.10432;7.52488;7.50045;
9.00504;2.10867;2.10785;7.54701;7.50397;
9.00505;2.11214;2.11133;7.56891;7.50744;
9.00506;2.11555;2.11475;7.5905;7.51085;
9.00507;2.11889;2.1181;7.61169;7.51419;
9.00508;2.12214;2.12136;7.6324;7.51743;
9.00509;2.12528;2.12453;7.65255;7.52058;
