time;V(/IN);user0;
0.103909;-0.0538584;-0.131535;
0.103919;-0.0484615;-0.110119;
0.103929;-0.0428735;-0.087915;
0.103939;-0.0371162;-0.0650125;
0.103949;-0.0312124;-0.0415015;
0.103959;-0.0251855;-0.0174747;
0.103969;-0.0190591;0.006973;
0.103979;-0.0128575;0.0317452;
0.103989;-0.00660524;0.056744;
0.103999;-0.000326863;0.081871;
0.104009;0.0059528;0.107027;
0.104019;0.012209;0.132112;
0.104029;0.018417;0.157028;
0.104039;0.0245523;0.181676;
0.104049;0.0305907;0.205959;
0.104059;0.0365083;0.229782;
0.104069;0.0422819;0.253049;
0.104079;0.0478887;0.27567;
0.104089;0.0533064;0.297555;
0.104099;0.0585138;0.318617;
0.104109;0.0634902;0.338774;
0.104119;0.0682161;0.357946;
0.104129;0.0726727;0.376058;
0.104139;0.0768426;0.393037;
0.104149;0.0807091;0.408817;
0.104159;0.0842572;0.423336;
0.104169;0.0874727;0.436535;
0.104179;0.0903431;0.448364;
0.104189;0.0928568;0.458776;
0.104199;0.0950041;0.467729;
0.104209;0.0967765;0.475188;
0.104219;0.098167;0.481123;
0.104229;0.09917;0.485512;
0.104239;0.0997816;0.488337;
0.104249;0.0999995;0.489586;
0.104259;0.0998227;0.489256;
0.104269;0.0992519;0.487346;
0.104279;0.0982894;0.483865;
0.104289;0.0969391;0.478826;
0.104299;0.0952061;0.47225;
0.104309;0.0930975;0.464162;
0.104319;0.0906214;0.454594;
0.104329;0.0877877;0.443584;
0.104339;0.0846075;0.431175;
0.104349;0.0810934;0.417416;
0.104359;0.0772593;0.402363;
0.104369;0.0731202;0.386073;
0.104379;0.0686926;0.368611;
0.104389;0.0639939;0.350047;
0.104399;0.0590426;0.330453;
0.104409;0.0538584;0.309908;
0.104419;0.0484615;0.288491;
0.104429;0.0428735;0.266287;
0.104439;0.0371162;0.243385;
0.104449;0.0312124;0.219874;
0.104459;0.0251855;0.195847;
0.104469;0.0190591;0.171399;
0.104479;0.0128575;0.146627;
0.104489;0.00660524;0.121628;
0.104499;0.000326863;0.0965012;
0.104509;-0.0059528;0.0713454;
0.104519;-0.012209;0.0462601;
0.104529;-0.018417;0.0213441;
0.104539;-0.0245523;-0.00330412;
0.104549;-0.0305907;-0.0275873;
0.104559;-0.0365083;-0.0514097;
0.104569;-0.0422819;-0.0746771;
0.104579;-0.0478887;-0.0972979;
0.104589;-0.0533064;-0.119183;
0.104599;-0.0585138;-0.140245;
0.104609;-0.0634902;-0.160402;
