time;V(/OUT_SINGLE);user0;user1;
0.917636;2.80166;-0.0150818;0.108536;
0.917646;2.81909;-0.0158798;0.114262;
0.917656;2.83519;-0.0166152;0.119537;
0.917666;2.84988;-0.0172849;0.12434;
0.917676;2.86311;-0.0178865;0.128652;
0.917686;2.87483;-0.0184174;0.132457;
0.917696;2.885;-0.0188757;0.135739;
0.917706;2.89356;-0.0192595;0.138486;
0.917716;2.90049;-0.0195673;0.140686;
0.917726;2.90576;-0.0197978;0.142331;
0.917736;2.90935;-0.0199502;0.143415;
0.917746;2.91124;-0.0200239;0.143934;
0.917756;2.91144;-0.0200186;0.143884;
0.917766;2.90993;-0.0199342;0.143268;
0.917776;2.90672;-0.0197712;0.142086;
0.917786;2.90184;-0.0195302;0.140344;
0.917796;2.89528;-0.019212;0.138048;
0.917806;2.88709;-0.0188181;0.135208;
0.917816;2.87729;-0.0183499;0.131834;
0.917826;2.86592;-0.0178093;0.127941;
0.917836;2.85303;-0.0171983;0.123542;
0.917846;2.83866;-0.0165196;0.118656;
0.917856;2.82288;-0.0157756;0.113301;
0.917866;2.80574;-0.0149693;0.107499;
0.917876;2.78732;-0.014104;0.101273;
0.917886;2.76768;-0.013183;0.0946465;
0.917896;2.74691;-0.01221;0.0876462;
0.917906;2.72507;-0.0111888;0.0802997;
0.917916;2.70227;-0.0101235;0.0726359;
0.917926;2.67859;-0.00901817;0.0646851;
0.917936;2.65413;-0.00787727;0.0564785;
0.917946;2.62897;-0.00670528;0.0480487;
0.917956;2.60323;-0.00550684;0.039429;
0.917966;2.57699;-0.00428666;0.0306533;
0.917976;2.55038;-0.00304956;0.0217564;
0.917986;2.52348;-0.00180042;0.0127735;
0.917996;2.49641;-0.000544186;0.00374007;
0.918006;2.46927;0.000714201;-0.00530815;
0.918016;2.44218;0.00196977;-0.0143354;
0.918026;2.41523;0.00321756;-0.0233059;
0.918036;2.38854;0.00445266;-0.0321843;
0.918046;2.36221;0.00567018;-0.0409354;
0.918056;2.33634;0.00686533;-0.0495247;
0.918066;2.31105;0.00803338;-0.0579181;
0.918076;2.28641;0.00916973;-0.0660826;
0.918086;2.26255;0.0102699;-0.0739859;
0.918096;2.23954;0.0113295;-0.0815968;
0.918106;2.21748;0.0123444;-0.0888854;
0.918116;2.19645;0.0133106;-0.0958227;
0.918126;2.17655;0.0142243;-0.102382;
0.918136;2.15784;0.0150818;-0.108536;
0.918146;2.14041;0.0158798;-0.114262;
0.918156;2.12431;0.0166152;-0.119537;
0.918166;2.10962;0.0172849;-0.12434;
0.918176;2.09638;0.0178865;-0.128652;
0.918186;2.08466;0.0184174;-0.132457;
0.918196;2.0745;0.0188757;-0.135739;
0.918206;2.06594;0.0192595;-0.138486;
0.918216;2.05901;0.0195673;-0.140686;
0.918226;2.05374;0.0197978;-0.142331;
0.918236;2.05015;0.0199502;-0.143415;
0.918246;2.04826;0.0200239;-0.143934;
0.918256;2.04806;0.0200186;-0.143884;
0.918266;2.04957;0.0199342;-0.143268;
0.918276;2.05277;0.0197712;-0.142086;
0.918286;2.05766;0.0195302;-0.140344;
0.918296;2.06422;0.019212;-0.138048;
0.918306;2.07241;0.0188181;-0.135208;
0.918316;2.08221;0.0183499;-0.131834;
0.918326;2.09358;0.0178093;-0.127941;
0.918336;2.10647;0.0171983;-0.123542;
0.918346;2.12084;0.0165196;-0.118656;
0.918356;2.13662;0.0157756;-0.113301;
0.918366;2.15375;0.0149693;-0.107499;
0.918376;2.17218;0.014104;-0.101273;
0.918386;2.19182;0.013183;-0.0946464;
0.918396;2.21259;0.01221;-0.0876462;
0.918406;2.23442;0.0111888;-0.0802997;
0.918416;2.25722;0.0101235;-0.0726359;
0.918426;2.2809;0.00901817;-0.064685;
0.918436;2.30537;0.00787727;-0.0564785;
0.918446;2.33053;0.00670528;-0.0480487;
0.918456;2.35627;0.00550684;-0.0394289;
0.918466;2.3825;0.00428666;-0.0306533;
0.918476;2.40912;0.00304956;-0.0217564;
0.918486;2.43602;0.00180042;-0.0127735;
0.918496;2.46309;0.000544186;-0.00374002;
0.918506;2.49023;-0.000714201;0.0053082;
0.918516;2.51732;-0.00196977;0.0143354;
0.918526;2.54427;-0.00321756;0.023306;
0.918536;2.57096;-0.00445266;0.0321843;
0.918546;2.59729;-0.00567018;0.0409355;
0.918556;2.62315;-0.00686533;0.0495247;
0.918566;2.64845;-0.00803338;0.0579182;
0.918576;2.67308;-0.00916973;0.0660827;
0.918586;2.69695;-0.0102699;0.073986;
0.918596;2.71996;-0.0113295;0.0815969;
0.918606;2.74202;-0.0123444;0.0888854;
0.918616;2.76304;-0.0133106;0.0958228;
0.918626;2.78295;-0.0142243;0.102382;
0.918636;2.80166;-0.0150818;0.108536;
0.918646;2.81909;-0.0158798;0.114262;
0.918656;2.83519;-0.0166152;0.119537;
0.918666;2.84988;-0.0172849;0.12434;
0.918676;2.86311;-0.0178865;0.128652;
0.918686;2.87483;-0.0184174;0.132457;
0.918696;2.885;-0.0188757;0.135739;
0.918706;2.89356;-0.0192595;0.138486;
0.918716;2.90049;-0.0195673;0.140686;
0.918726;2.90576;-0.0197978;0.142331;
0.918736;2.90935;-0.0199502;0.143415;
0.918746;2.91124;-0.0200239;0.143934;
0.918756;2.91144;-0.0200186;0.143884;
0.918766;2.90993;-0.0199342;0.143268;
0.918776;2.90672;-0.0197712;0.142086;
0.918786;2.90184;-0.0195302;0.140344;
0.918796;2.89528;-0.019212;0.138048;
0.918806;2.88709;-0.0188181;0.135208;
0.918816;2.87729;-0.0183499;0.131834;
0.918826;2.86592;-0.0178093;0.127941;
0.918836;2.85303;-0.0171983;0.123542;
0.918846;2.83866;-0.0165196;0.118656;
0.918856;2.82288;-0.0157756;0.113301;
0.918866;2.80574;-0.0149693;0.107499;
0.918876;2.78732;-0.014104;0.101273;
0.918886;2.76768;-0.013183;0.0946465;
0.918896;2.74691;-0.01221;0.0876462;
0.918906;2.72507;-0.0111888;0.0802997;
0.918916;2.70227;-0.0101235;0.0726359;
0.918926;2.67859;-0.00901817;0.0646851;
0.918936;2.65413;-0.00787727;0.0564785;
0.918946;2.62897;-0.00670528;0.0480487;
0.918956;2.60323;-0.00550684;0.039429;
0.918966;2.57699;-0.00428666;0.0306533;
0.918976;2.55038;-0.00304956;0.0217564;
0.918986;2.52348;-0.00180042;0.0127735;
0.918996;2.49641;-0.000544186;0.00374007;
0.919006;2.46927;0.000714201;-0.00530815;
0.919016;2.44218;0.00196977;-0.0143354;
0.919026;2.41523;0.00321756;-0.0233059;
0.919036;2.38854;0.00445266;-0.0321843;
0.919046;2.36221;0.00567018;-0.0409354;
0.919056;2.33634;0.00686533;-0.0495247;
0.919066;2.31105;0.00803338;-0.0579181;
0.919076;2.28641;0.00916973;-0.0660826;
0.919086;2.26255;0.0102699;-0.0739859;
0.919096;2.23954;0.0113295;-0.0815968;
0.919106;2.21748;0.0123444;-0.0888854;
0.919116;2.19645;0.0133106;-0.0958227;
0.919126;2.17655;0.0142243;-0.102382;
0.919136;2.15784;0.0150818;-0.108536;
0.919146;2.14041;0.0158798;-0.114262;
0.919156;2.12431;0.0166152;-0.119537;
0.919166;2.10962;0.0172849;-0.12434;
0.919176;2.09638;0.0178865;-0.128652;
0.919186;2.08466;0.0184174;-0.132457;
0.919196;2.0745;0.0188757;-0.135739;
0.919206;2.06594;0.0192595;-0.138486;
0.919216;2.05901;0.0195673;-0.140686;
0.919226;2.05374;0.0197978;-0.142331;
0.919236;2.05015;0.0199502;-0.143415;
0.919246;2.04826;0.0200239;-0.143934;
0.919256;2.04806;0.0200186;-0.143884;
0.919266;2.04957;0.0199342;-0.143268;
0.919276;2.05277;0.0197712;-0.142086;
0.919286;2.05766;0.0195302;-0.140344;
0.919296;2.06422;0.019212;-0.138048;
0.919306;2.07241;0.0188181;-0.135208;
0.919316;2.08221;0.0183499;-0.131834;
0.919326;2.09358;0.0178093;-0.127941;
0.919336;2.10647;0.0171983;-0.123542;
0.919346;2.12084;0.0165196;-0.118656;
0.919356;2.13662;0.0157756;-0.113301;
0.919366;2.15375;0.0149693;-0.107499;
0.919376;2.17218;0.014104;-0.101273;
0.919386;2.19182;0.013183;-0.0946464;
0.919396;2.21259;0.01221;-0.0876462;
0.919406;2.23442;0.0111888;-0.0802997;
0.919416;2.25722;0.0101235;-0.0726359;
0.919426;2.2809;0.00901817;-0.064685;
0.919436;2.30537;0.00787727;-0.0564785;
0.919446;2.33053;0.00670528;-0.0480487;
0.919456;2.35627;0.00550684;-0.0394289;
0.919466;2.3825;0.00428666;-0.0306533;
0.919476;2.40912;0.00304956;-0.0217564;
0.919486;2.43602;0.00180042;-0.0127735;
0.919496;2.46309;0.000544186;-0.00374002;
0.919506;2.49023;-0.000714201;0.0053082;
0.919516;2.51732;-0.00196977;0.0143354;
0.919526;2.54427;-0.00321756;0.023306;
0.919536;2.57096;-0.00445266;0.0321843;
0.919546;2.59729;-0.00567018;0.0409355;
0.919556;2.62315;-0.00686533;0.0495247;
0.919566;2.64845;-0.00803338;0.0579182;
0.919576;2.67308;-0.00916973;0.0660827;
0.919586;2.69695;-0.0102699;0.073986;
0.919596;2.71996;-0.0113295;0.0815969;
0.919606;2.74202;-0.0123444;0.0888854;
0.919616;2.76304;-0.0133106;0.0958228;
0.919626;2.78295;-0.0142243;0.102382;
0.919636;2.80166;-0.0150818;0.108536;
0.919646;2.81909;-0.0158798;0.114262;
0.919656;2.83519;-0.0166152;0.119537;
0.919666;2.84988;-0.0172849;0.12434;
0.919676;2.86311;-0.0178865;0.128652;
0.919686;2.87483;-0.0184174;0.132457;
0.919696;2.885;-0.0188757;0.135739;
0.919706;2.89356;-0.0192595;0.138486;
0.919716;2.90049;-0.0195673;0.140686;
0.919726;2.90576;-0.0197978;0.142331;
0.919736;2.90935;-0.0199502;0.143415;
0.919746;2.91124;-0.0200239;0.143934;
0.919756;2.91144;-0.0200186;0.143884;
0.919766;2.90993;-0.0199342;0.143268;
0.919776;2.90672;-0.0197712;0.142086;
0.919786;2.90184;-0.0195302;0.140344;
0.919796;2.89528;-0.019212;0.138048;
0.919806;2.88709;-0.0188181;0.135208;
0.919816;2.87729;-0.0183499;0.131834;
0.919826;2.86592;-0.0178093;0.127941;
0.919836;2.85303;-0.0171983;0.123542;
0.919846;2.83866;-0.0165196;0.118656;
0.919856;2.82288;-0.0157756;0.113301;
0.919866;2.80574;-0.0149693;0.107499;
0.919876;2.78732;-0.014104;0.101273;
0.919886;2.76768;-0.013183;0.0946465;
0.919896;2.74691;-0.01221;0.0876462;
0.919906;2.72507;-0.0111888;0.0802997;
0.919916;2.70227;-0.0101235;0.0726359;
0.919926;2.67859;-0.00901817;0.0646851;
0.919936;2.65413;-0.00787727;0.0564785;
0.919946;2.62897;-0.00670528;0.0480487;
0.919956;2.60323;-0.00550684;0.039429;
0.919966;2.57699;-0.00428666;0.0306533;
0.919976;2.55038;-0.00304956;0.0217564;
0.919986;2.52348;-0.00180042;0.0127735;
0.919996;2.49641;-0.000544186;0.00374007;
0.920006;2.46927;0.000714201;-0.00530815;
0.920016;2.44218;0.00196977;-0.0143354;
0.920026;2.41523;0.00321756;-0.0233059;
0.920036;2.38854;0.00445266;-0.0321843;
0.920046;2.36221;0.00567018;-0.0409354;
0.920056;2.33634;0.00686533;-0.0495247;
0.920066;2.31105;0.00803338;-0.0579181;
0.920076;2.28641;0.00916973;-0.0660826;
0.920086;2.26255;0.0102699;-0.0739859;
0.920096;2.23954;0.0113295;-0.0815968;
0.920106;2.21748;0.0123444;-0.0888854;
0.920116;2.19645;0.0133106;-0.0958227;
0.920126;2.17655;0.0142243;-0.102382;
0.920136;2.15784;0.0150818;-0.108536;
0.920146;2.14041;0.0158798;-0.114262;
0.920156;2.12431;0.0166152;-0.119537;
0.920166;2.10962;0.0172849;-0.12434;
0.920176;2.09638;0.0178865;-0.128652;
0.920186;2.08466;0.0184174;-0.132457;
0.920196;2.0745;0.0188757;-0.135739;
0.920206;2.06594;0.0192595;-0.138486;
0.920216;2.05901;0.0195673;-0.140686;
0.920226;2.05374;0.0197978;-0.142331;
0.920236;2.05015;0.0199502;-0.143415;
0.920246;2.04826;0.0200239;-0.143934;
0.920256;2.04806;0.0200186;-0.143884;
0.920266;2.04957;0.0199342;-0.143268;
0.920276;2.05277;0.0197712;-0.142086;
0.920286;2.05766;0.0195302;-0.140344;
0.920296;2.06422;0.019212;-0.138048;
0.920306;2.07241;0.0188181;-0.135208;
0.920316;2.08221;0.0183499;-0.131834;
0.920326;2.09358;0.0178093;-0.127941;
0.920336;2.10647;0.0171983;-0.123542;
0.920346;2.12084;0.0165196;-0.118656;
0.920356;2.13662;0.0157756;-0.113301;
0.920366;2.15375;0.0149693;-0.107499;
0.920376;2.17218;0.014104;-0.101273;
0.920386;2.19182;0.013183;-0.0946464;
0.920396;2.21259;0.01221;-0.0876462;
0.920406;2.23442;0.0111888;-0.0802997;
0.920416;2.25722;0.0101235;-0.0726359;
0.920426;2.2809;0.00901817;-0.064685;
0.920436;2.30537;0.00787727;-0.0564785;
0.920446;2.33053;0.00670528;-0.0480487;
0.920456;2.35627;0.00550684;-0.0394289;
0.920466;2.3825;0.00428666;-0.0306533;
0.920476;2.40912;0.00304956;-0.0217564;
0.920486;2.43602;0.00180042;-0.0127735;
0.920496;2.46309;0.000544186;-0.00374002;
0.920506;2.49023;-0.000714201;0.0053082;
0.920516;2.51732;-0.00196977;0.0143354;
0.920526;2.54427;-0.00321756;0.023306;
0.920536;2.57096;-0.00445266;0.0321843;
0.920546;2.59729;-0.00567018;0.0409355;
0.920556;2.62315;-0.00686533;0.0495247;
0.920566;2.64845;-0.00803338;0.0579182;
0.920576;2.67308;-0.00916973;0.0660827;
0.920586;2.69695;-0.0102699;0.073986;
0.920596;2.71996;-0.0113295;0.0815969;
0.920606;2.74202;-0.0123444;0.0888854;
0.920616;2.76304;-0.0133106;0.0958228;
0.920626;2.78295;-0.0142243;0.102382;
0.920636;2.80166;-0.0150818;0.108536;
0.920646;2.81909;-0.0158798;0.114262;
0.920656;2.83519;-0.0166152;0.119537;
0.920666;2.84988;-0.0172849;0.12434;
0.920676;2.86311;-0.0178865;0.128652;
0.920686;2.87483;-0.0184174;0.132457;
0.920696;2.885;-0.0188757;0.135739;
0.920706;2.89356;-0.0192595;0.138486;
0.920716;2.90049;-0.0195673;0.140686;
0.920726;2.90576;-0.0197978;0.142331;
0.920736;2.90935;-0.0199502;0.143415;
0.920746;2.91124;-0.0200239;0.143934;
0.920756;2.91144;-0.0200186;0.143884;
0.920766;2.90993;-0.0199342;0.143268;
0.920776;2.90672;-0.0197712;0.142086;
0.920786;2.90184;-0.0195302;0.140344;
0.920796;2.89528;-0.019212;0.138048;
0.920806;2.88709;-0.0188181;0.135208;
0.920816;2.87729;-0.0183499;0.131834;
0.920826;2.86592;-0.0178093;0.127941;
0.920836;2.85303;-0.0171983;0.123542;
0.920846;2.83866;-0.0165196;0.118656;
0.920856;2.82288;-0.0157756;0.113301;
0.920866;2.80574;-0.0149693;0.107499;
0.920876;2.78732;-0.014104;0.101273;
0.920886;2.76768;-0.013183;0.0946465;
0.920896;2.74691;-0.01221;0.0876462;
0.920906;2.72507;-0.0111888;0.0802997;
0.920916;2.70227;-0.0101235;0.0726359;
0.920926;2.67859;-0.00901817;0.0646851;
0.920936;2.65413;-0.00787727;0.0564785;
0.920946;2.62897;-0.00670528;0.0480487;
0.920956;2.60323;-0.00550684;0.039429;
0.920966;2.57699;-0.00428666;0.0306533;
0.920976;2.55038;-0.00304956;0.0217564;
0.920986;2.52348;-0.00180042;0.0127735;
0.920996;2.49641;-0.000544186;0.00374007;
0.921006;2.46927;0.000714201;-0.00530815;
0.921016;2.44218;0.00196977;-0.0143354;
0.921026;2.41523;0.00321756;-0.0233059;
0.921036;2.38854;0.00445266;-0.0321843;
0.921046;2.36221;0.00567018;-0.0409354;
0.921056;2.33634;0.00686533;-0.0495247;
0.921066;2.31105;0.00803338;-0.0579181;
0.921076;2.28641;0.00916973;-0.0660826;
0.921086;2.26255;0.0102699;-0.0739859;
0.921096;2.23954;0.0113295;-0.0815968;
0.921106;2.21748;0.0123444;-0.0888854;
0.921116;2.19645;0.0133106;-0.0958227;
0.921126;2.17655;0.0142243;-0.102382;
0.921136;2.15784;0.0150818;-0.108536;
0.921146;2.14041;0.0158798;-0.114262;
0.921156;2.12431;0.0166152;-0.119537;
0.921166;2.10962;0.0172849;-0.12434;
0.921176;2.09638;0.0178865;-0.128652;
0.921186;2.08466;0.0184174;-0.132457;
0.921196;2.0745;0.0188757;-0.135739;
0.921206;2.06594;0.0192595;-0.138486;
0.921216;2.05901;0.0195673;-0.140686;
0.921226;2.05374;0.0197978;-0.142331;
0.921236;2.05015;0.0199502;-0.143415;
0.921246;2.04826;0.0200239;-0.143934;
0.921256;2.04806;0.0200186;-0.143884;
0.921266;2.04957;0.0199342;-0.143268;
0.921276;2.05277;0.0197712;-0.142086;
0.921286;2.05766;0.0195302;-0.140344;
0.921296;2.06422;0.019212;-0.138048;
0.921306;2.07241;0.0188181;-0.135208;
0.921316;2.08221;0.0183499;-0.131834;
0.921326;2.09358;0.0178093;-0.127941;
0.921336;2.10647;0.0171983;-0.123542;
0.921346;2.12084;0.0165196;-0.118656;
0.921356;2.13662;0.0157756;-0.113301;
0.921366;2.15375;0.0149693;-0.107499;
0.921376;2.17218;0.014104;-0.101273;
0.921386;2.19182;0.013183;-0.0946464;
0.921396;2.21259;0.01221;-0.0876462;
0.921406;2.23442;0.0111888;-0.0802997;
0.921416;2.25722;0.0101235;-0.0726359;
0.921426;2.2809;0.00901817;-0.064685;
0.921436;2.30537;0.00787727;-0.0564785;
