time;V(/OUT_N);V(/OUT_P);user1;
0.104647;0.910387;1.02557;0.115183;
0.104657;0.90779;1.02817;0.120379;
0.104667;0.905431;1.03053;0.125099;
0.104677;0.903319;1.03264;0.129326;
0.104687;0.901462;1.0345;0.133043;
0.104697;0.899867;1.0361;0.136234;
0.104707;0.898541;1.03743;0.138888;
0.104717;0.897488;1.03848;0.140994;
0.104727;0.896714;1.03926;0.142544;
0.104737;0.89622;1.03975;0.143532;
0.104747;0.89601;1.03996;0.143953;
0.104757;0.896083;1.03989;0.143807;
0.104767;0.896439;1.03953;0.143094;
0.104777;0.897078;1.03889;0.141816;
0.104787;0.897996;1.03797;0.139979;
0.104797;0.89919;1.03678;0.137589;
0.104807;0.900655;1.03531;0.134657;
0.104817;0.902386;1.03358;0.131194;
0.104827;0.904376;1.03159;0.127213;
0.104837;0.906616;1.02935;0.122729;
0.104847;0.909099;1.02686;0.117762;
0.104857;0.911814;1.02414;0.112329;
0.104867;0.914751;1.0212;0.106453;
0.104877;0.917898;1.01805;0.100157;
0.104887;0.921242;1.01471;0.0934647;
0.104897;0.924772;1.01118;0.0864033;
0.104907;0.928472;1.00747;0.0790005;
0.104917;0.932328;1.00361;0.0712855;
0.104927;0.936326;0.999614;0.0632888;
0.104937;0.940448;0.99549;0.0550418;
0.104947;0.94468;0.991257;0.0465772;
0.104957;0.949003;0.986932;0.0379284;
0.104967;0.953402;0.982532;0.0291295;
0.104977;0.957859;0.978074;0.0202155;
0.104987;0.962356;0.973577;0.0112214;
0.104997;0.966875;0.969058;0.0021829;
0.105007;0.971398;0.964534;-0.00686427;
0.105017;0.975909;0.960024;-0.0158843;
0.105027;0.980388;0.955546;-0.0248417;
0.105037;0.984818;0.951117;-0.0337008;
0.105047;0.989182;0.946755;-0.0424267;
0.105057;0.993462;0.942477;-0.0509849;
0.105067;0.997641;0.938299;-0.0593416;
0.105077;1.0017;0.934239;-0.0674637;
0.105087;1.00563;0.930313;-0.0753193;
0.105097;1.00941;0.926535;-0.0828772;
0.105107;1.01303;0.922921;-0.0901078;
0.105117;1.01647;0.919485;-0.0969824;
0.105127;1.01971;0.916241;-0.103474;
0.105137;1.02276;0.913201;-0.109557;
