time;V(/OUT_N);V(/OUT_SINGLE);
9.00529;1.06363;2.80307;
9.0053;1.06272;2.79835;
9.00531;1.06162;2.79242;
9.00532;1.06032;2.78529;
9.00533;1.05885;2.77699;
9.00534;1.0572;2.76756;
9.00535;1.05537;2.75704;
9.00536;1.05339;2.74546;
9.00537;1.05125;2.73287;
9.00538;1.04896;2.71932;
9.00539;1.04653;2.70487;
9.0054;1.04398;2.68957;
9.00541;1.04131;2.67348;
9.00542;1.03853;2.65666;
9.00543;1.03565;2.63918;
9.00544;1.03269;2.62112;
9.00545;1.02965;2.60253;
9.00546;1.02655;2.5835;
9.00547;1.02341;2.5641;
9.00548;1.02022;2.54441;
9.00549;1.01701;2.5245;
9.0055;1.01379;2.50445;
9.00551;1.01057;2.48435;
9.00552;1.00737;2.46427;
9.00553;1.00419;2.44429;
9.00554;1.00105;2.42448;
9.00555;0.997958;2.40494;
9.00556;0.994933;2.38574;
9.00557;0.991983;2.36694;
9.00558;0.98912;2.34863;
9.00559;0.986356;2.33088;
9.0056;0.983701;2.31376;
9.00561;0.981167;2.29733;
9.00562;0.978761;2.28167;
9.00563;0.976496;2.26683;
9.00564;0.974378;2.25286;
9.00565;0.972417;2.23984;
9.00566;0.97062;2.2278;
9.00567;0.968995;2.21679;
9.00568;0.967547;2.20687;
9.00569;0.966282;2.19806;
9.0057;0.965206;2.1904;
9.00571;0.964322;2.18392;
9.00572;0.963634;2.17865;
9.00573;0.963145;2.17461;
9.00574;0.962857;2.17181;
9.00575;0.96277;2.17027;
9.00576;0.962885;2.16998;
9.00577;0.963202;2.17096;
9.00578;0.963719;2.17319;
9.00579;0.964435;2.17668;
9.0058;0.965346;2.1814;
9.00581;0.966449;2.18733;
9.00582;0.96774;2.19446;
9.00583;0.969213;2.20276;
9.00584;0.970863;2.21219;
9.00585;0.972684;2.22271;
9.00586;0.974667;2.23429;
9.00587;0.976807;2.24688;
9.00588;0.979093;2.26043;
9.00589;0.981517;2.27488;
9.0059;0.984069;2.29018;
9.00591;0.98674;2.30627;
9.00592;0.989518;2.32309;
9.00593;0.992394;2.34057;
9.00594;0.995355;2.35863;
9.00595;0.99839;2.37722;
9.00596;1.00149;2.39625;
9.00597;1.00463;2.41565;
9.00598;1.00782;2.43534;
9.00599;1.01103;2.45525;
9.006;1.01425;2.4753;
9.00601;1.01747;2.4954;
9.00602;1.02067;2.51548;
9.00603;1.02385;2.53547;
9.00604;1.02699;2.55527;
9.00605;1.03008;2.57481;
9.00606;1.03311;2.59402;
9.00607;1.03606;2.61281;
9.00608;1.03893;2.63112;
9.00609;1.04169;2.64887;
9.0061;1.04435;2.66599;
9.00611;1.04688;2.68242;
9.00612;1.04929;2.69808;
9.00613;1.05156;2.71293;
9.00614;1.05368;2.72689;
9.00615;1.05564;2.73991;
9.00616;1.05744;2.75195;
9.00617;1.05907;2.76296;
9.00618;1.06052;2.77288;
9.00619;1.06178;2.78169;
9.0062;1.06286;2.78935;
9.00621;1.06374;2.79583;
9.00622;1.06443;2.8011;
9.00623;1.06492;2.80514;
9.00624;1.06521;2.80794;
9.00625;1.0653;2.80949;
9.00626;1.06518;2.80977;
9.00627;1.06487;2.80879;
9.00628;1.06435;2.80656;
9.00629;1.06363;2.80307;
9.0063;1.06272;2.79835;
9.00631;1.06162;2.79242;
9.00632;1.06032;2.78529;
9.00633;1.05885;2.77699;
9.00634;1.0572;2.76756;
9.00635;1.05537;2.75704;
9.00636;1.05339;2.74546;
9.00637;1.05125;2.73287;
9.00638;1.04896;2.71932;
9.00639;1.04653;2.70487;
9.0064;1.04398;2.68957;
9.00641;1.04131;2.67348;
9.00642;1.03853;2.65666;
9.00643;1.03565;2.63918;
9.00644;1.03269;2.62112;
9.00645;1.02965;2.60253;
9.00646;1.02655;2.5835;
9.00647;1.02341;2.5641;
9.00648;1.02022;2.54441;
9.00649;1.01701;2.5245;
9.0065;1.01379;2.50445;
9.00651;1.01057;2.48435;
9.00652;1.00737;2.46427;
9.00653;1.00419;2.44429;
9.00654;1.00105;2.42448;
9.00655;0.997957;2.40494;
9.00656;0.994932;2.38574;
9.00657;0.991982;2.36694;
9.00658;0.98912;2.34863;
9.00659;0.986356;2.33088;
9.0066;0.983701;2.31376;
9.00661;0.981166;2.29733;
9.00662;0.978761;2.28167;
9.00663;0.976495;2.26683;
9.00664;0.974377;2.25286;
9.00665;0.972416;2.23984;
9.00666;0.970619;2.2278;
9.00667;0.968994;2.21679;
9.00668;0.967546;2.20687;
9.00669;0.966281;2.19806;
9.0067;0.965205;2.1904;
9.00671;0.964321;2.18392;
9.00672;0.963634;2.17865;
9.00673;0.963145;2.17461;
9.00674;0.962856;2.17181;
9.00675;0.962769;2.17027;
9.00676;0.962885;2.16998;
9.00677;0.963201;2.17096;
9.00678;0.963719;2.17319;
9.00679;0.964434;2.17668;
9.0068;0.965345;2.1814;
9.00681;0.966449;2.18733;
9.00682;0.967739;2.19446;
9.00683;0.969213;2.20276;
9.00684;0.970863;2.21219;
9.00685;0.972683;2.22271;
9.00686;0.974667;2.23429;
9.00687;0.976806;2.24688;
9.00688;0.979092;2.26043;
9.00689;0.981516;2.27488;
9.0069;0.984068;2.29018;
9.00691;0.986739;2.30627;
9.00692;0.989518;2.32309;
9.00693;0.992393;2.34057;
9.00694;0.995355;2.35863;
9.00695;0.99839;2.37722;
9.00696;1.00149;2.39625;
9.00697;1.00463;2.41565;
9.00698;1.00782;2.43534;
9.00699;1.01103;2.45525;
9.007;1.01425;2.4753;
9.00701;1.01747;2.4954;
9.00702;1.02067;2.51548;
9.00703;1.02385;2.53547;
9.00704;1.02699;2.55527;
9.00705;1.03008;2.57481;
9.00706;1.03311;2.59402;
9.00707;1.03606;2.61281;
9.00708;1.03892;2.63112;
9.00709;1.04169;2.64887;
9.0071;1.04435;2.66599;
9.00711;1.04688;2.68242;
9.00712;1.04929;2.69808;
9.00713;1.05156;2.71293;
9.00714;1.05368;2.72689;
9.00715;1.05564;2.73991;
9.00716;1.05744;2.75195;
9.00717;1.05907;2.76296;
9.00718;1.06052;2.77288;
9.00719;1.06178;2.78169;
9.0072;1.06286;2.78935;
9.00721;1.06374;2.79583;
9.00722;1.06443;2.8011;
9.00723;1.06492;2.80514;
9.00724;1.06521;2.80794;
9.00725;1.0653;2.80949;
9.00726;1.06518;2.80977;
9.00727;1.06487;2.80879;
9.00728;1.06435;2.80656;
9.00729;1.06363;2.80307;
9.0073;1.06272;2.79835;
9.00731;1.06161;2.79242;
9.00732;1.06032;2.78529;
9.00733;1.05885;2.77699;
9.00734;1.0572;2.76756;
9.00735;1.05537;2.75704;
9.00736;1.05339;2.74546;
9.00737;1.05125;2.73287;
9.00738;1.04896;2.71932;
9.00739;1.04653;2.70487;
9.0074;1.04398;2.68957;
9.00741;1.04131;2.67348;
9.00742;1.03853;2.65666;
9.00743;1.03565;2.63918;
9.00744;1.03269;2.62112;
9.00745;1.02965;2.60253;
9.00746;1.02655;2.5835;
9.00747;1.0234;2.5641;
9.00748;1.02022;2.54441;
9.00749;1.01701;2.5245;
9.0075;1.01379;2.50445;
9.00751;1.01057;2.48435;
9.00752;1.00737;2.46427;
9.00753;1.00419;2.44429;
9.00754;1.00105;2.42448;
9.00755;0.997957;2.40494;
9.00756;0.994931;2.38574;
9.00757;0.991982;2.36694;
9.00758;0.989119;2.34863;
9.00759;0.986355;2.33088;
9.0076;0.9837;2.31376;
9.00761;0.981165;2.29733;
9.00762;0.97876;2.28167;
9.00763;0.976494;2.26683;
9.00764;0.974377;2.25286;
9.00765;0.972416;2.23984;
9.00766;0.970619;2.2278;
9.00767;0.968993;2.21679;
9.00768;0.967545;2.20687;
9.00769;0.966281;2.19806;
9.0077;0.965204;2.1904;
9.00771;0.964321;2.18392;
9.00772;0.963633;2.17865;
9.00773;0.963144;2.17461;
9.00774;0.962855;2.17181;
9.00775;0.962769;2.17027;
9.00776;0.962884;2.16998;
9.00777;0.963201;2.17096;
9.00778;0.963718;2.17319;
9.00779;0.964434;2.17668;
9.0078;0.965345;2.1814;
9.00781;0.966448;2.18733;
9.00782;0.967739;2.19446;
9.00783;0.969212;2.20276;
9.00784;0.970862;2.21219;
9.00785;0.972682;2.22271;
9.00786;0.974666;2.23429;
9.00787;0.976805;2.24688;
9.00788;0.979091;2.26043;
9.00789;0.981515;2.27488;
9.0079;0.984068;2.29018;
9.00791;0.986738;2.30627;
9.00792;0.989517;2.32309;
9.00793;0.992393;2.34057;
9.00794;0.995354;2.35863;
9.00795;0.998389;2.37722;
9.00796;1.00149;2.39625;
9.00797;1.00463;2.41565;
9.00798;1.00782;2.43534;
9.00799;1.01102;2.45525;
9.008;1.01425;2.4753;
9.00801;1.01746;2.4954;
9.00802;1.02067;2.51548;
9.00803;1.02385;2.53547;
9.00804;1.02699;2.55527;
9.00805;1.03008;2.57481;
9.00806;1.03311;2.59402;
9.00807;1.03606;2.61281;
9.00808;1.03892;2.63112;
9.00809;1.04169;2.64887;
9.0081;1.04435;2.66599;
9.00811;1.04688;2.68242;
9.00812;1.04929;2.69808;
9.00813;1.05156;2.71293;
9.00814;1.05368;2.72689;
9.00815;1.05564;2.73991;
9.00816;1.05744;2.75195;
9.00817;1.05907;2.76296;
9.00818;1.06052;2.77288;
9.00819;1.06178;2.78169;
9.0082;1.06286;2.78935;
9.00821;1.06374;2.79583;
9.00822;1.06443;2.8011;
9.00823;1.06492;2.80514;
9.00824;1.06521;2.80794;
9.00825;1.0653;2.80949;
9.00826;1.06518;2.80977;
9.00827;1.06486;2.80879;
9.00828;1.06435;2.80656;
9.00829;1.06363;2.80307;
9.0083;1.06272;2.79835;
9.00831;1.06161;2.79242;
9.00832;1.06032;2.78529;
9.00833;1.05885;2.77699;
9.00834;1.05719;2.76756;
9.00835;1.05537;2.75704;
9.00836;1.05339;2.74546;
9.00837;1.05125;2.73287;
9.00838;1.04896;2.71932;
9.00839;1.04653;2.70487;
9.0084;1.04398;2.68957;
9.00841;1.04131;2.67348;
9.00842;1.03853;2.65666;
9.00843;1.03565;2.63918;
9.00844;1.03269;2.62112;
9.00845;1.02965;2.60253;
9.00846;1.02655;2.5835;
9.00847;1.0234;2.5641;
9.00848;1.02022;2.54441;
9.00849;1.01701;2.5245;
9.0085;1.01379;2.50445;
9.00851;1.01057;2.48435;
9.00852;1.00736;2.46427;
9.00853;1.00419;2.44429;
9.00854;1.00105;2.42448;
9.00855;0.997956;2.40494;
9.00856;0.994931;2.38574;
9.00857;0.991981;2.36694;
9.00858;0.989118;2.34863;
9.00859;0.986354;2.33088;
9.0086;0.983699;2.31376;
9.00861;0.981164;2.29733;
9.00862;0.978759;2.28167;
9.00863;0.976494;2.26683;
9.00864;0.974376;2.25286;
9.00865;0.972415;2.23984;
9.00866;0.970618;2.2278;
9.00867;0.968992;2.21679;
9.00868;0.967545;2.20687;
