time;V(/OUT_N);V(/OUT_SINGLE);
9.00502;0.422971;2.50345;
9.00503;0.424832;2.51511;
9.00504;0.426674;2.52667;
9.00505;0.428488;2.53808;
9.00506;0.430268;2.5493;
9.00507;0.432006;2.56028;
9.00508;0.433697;2.57099;
9.00509;0.435332;2.58137;
9.0051;0.436906;2.59138;
9.00511;0.438412;2.601;
9.00512;0.439844;2.61017;
9.00513;0.441197;2.61887;
9.00514;0.442465;2.62705;
9.00515;0.443644;2.63469;
9.00516;0.444729;2.64176;
9.00517;0.445715;2.64823;
9.00518;0.446598;2.65407;
9.00519;0.447376;2.65927;
9.0052;0.448046;2.66379;
9.00521;0.448603;2.66764;
9.00522;0.449048;2.67078;
9.00523;0.449376;2.67321;
9.00524;0.449589;2.67492;
9.00525;0.449684;2.6759;
9.00526;0.449661;2.67615;
9.00527;0.449521;2.67567;
9.00528;0.449264;2.67446;
9.00529;0.44889;2.67252;
9.0053;0.448402;2.66986;
9.00531;0.447801;2.66649;
9.00532;0.44709;2.66243;
9.00533;0.446271;2.65769;
9.00534;0.445348;2.65229;
9.00535;0.444324;2.64624;
9.00536;0.443203;2.63958;
9.00537;0.441989;2.63233;
9.00538;0.440688;2.62451;
9.00539;0.439304;2.61616;
9.0054;0.437843;2.60731;
9.00541;0.436311;2.598;
9.00542;0.434713;2.58825;
9.00543;0.433056;2.57811;
9.00544;0.431347;2.56763;
9.00545;0.429592;2.55683;
9.00546;0.427799;2.54577;
9.00547;0.425974;2.53448;
9.00548;0.424124;2.52302;
9.00549;0.422259;2.51142;
9.0055;0.420384;2.49974;
9.00551;0.418507;2.48802;
9.00552;0.416636;2.4763;
9.00553;0.414778;2.46464;
9.00554;0.41294;2.45309;
9.00555;0.411129;2.44167;
9.00556;0.409354;2.43045;
9.00557;0.407621;2.41947;
9.00558;0.405936;2.40877;
9.00559;0.404307;2.39839;
9.0056;0.40274;2.38837;
9.00561;0.401241;2.37875;
9.00562;0.399815;2.36958;
9.00563;0.398469;2.36089;
9.00564;0.397207;2.3527;
9.00565;0.396035;2.34506;
9.00566;0.394957;2.33799;
9.00567;0.393977;2.33152;
9.00568;0.393099;2.32568;
9.00569;0.392325;2.32048;
9.0057;0.39166;2.31596;
9.00571;0.391106;2.31211;
9.00572;0.390665;2.30897;
9.00573;0.390338;2.30654;
9.00574;0.390126;2.30483;
9.00575;0.390031;2.30385;
9.00576;0.390053;2.3036;
9.00577;0.390192;2.30408;
9.00578;0.390447;2.30529;
9.00579;0.390817;2.30723;
9.0058;0.391301;2.30989;
9.00581;0.391897;2.31325;
9.00582;0.392603;2.31732;
9.00583;0.393416;2.32206;
9.00584;0.394334;2.32746;
9.00585;0.395351;2.3335;
9.00586;0.396466;2.34017;
9.00587;0.397672;2.34742;
9.00588;0.398967;2.35524;
9.00589;0.400344;2.36359;
9.0059;0.401798;2.37244;
9.00591;0.403324;2.38176;
9.00592;0.404916;2.3915;
9.00593;0.406567;2.40164;
9.00594;0.408271;2.41213;
9.00595;0.410022;2.42292;
9.00596;0.411812;2.43399;
9.00597;0.413634;2.44527;
9.00598;0.415481;2.45674;
9.00599;0.417346;2.46833;
9.006;0.419221;2.48002;
9.00601;0.421097;2.49173;
9.00602;0.42297;2.50345;
9.00603;0.424831;2.51511;
9.00604;0.426673;2.52667;
9.00605;0.428487;2.53808;
9.00606;0.430267;2.5493;
9.00607;0.432005;2.56028;
9.00608;0.433696;2.57099;
9.00609;0.435331;2.58137;
9.0061;0.436905;2.59138;
9.00611;0.438411;2.601;
9.00612;0.439843;2.61017;
9.00613;0.441196;2.61887;
9.00614;0.442464;2.62705;
9.00615;0.443643;2.63469;
9.00616;0.444728;2.64176;
9.00617;0.445714;2.64823;
9.00618;0.446597;2.65407;
9.00619;0.447375;2.65927;
9.0062;0.448045;2.66379;
9.00621;0.448602;2.66764;
9.00622;0.449047;2.67078;
9.00623;0.449376;2.67321;
9.00624;0.449588;2.67492;
9.00625;0.449683;2.6759;
9.00626;0.44966;2.67615;
9.00627;0.44952;2.67567;
9.00628;0.449263;2.67446;
9.00629;0.448889;2.67252;
9.0063;0.448401;2.66986;
9.00631;0.4478;2.66649;
9.00632;0.447089;2.66243;
9.00633;0.44627;2.65769;
9.00634;0.445347;2.65229;
9.00635;0.444323;2.64624;
9.00636;0.443202;2.63958;
9.00637;0.441988;2.63233;
9.00638;0.440687;2.62451;
9.00639;0.439303;2.61616;
9.0064;0.437842;2.60731;
9.00641;0.43631;2.598;
9.00642;0.434712;2.58825;
9.00643;0.433055;2.57811;
9.00644;0.431346;2.56763;
9.00645;0.429591;2.55683;
9.00646;0.427798;2.54577;
9.00647;0.425973;2.53448;
9.00648;0.424123;2.52302;
9.00649;0.422258;2.51142;
9.0065;0.420383;2.49974;
9.00651;0.418506;2.48802;
9.00652;0.416635;2.4763;
9.00653;0.414777;2.46464;
9.00654;0.412939;2.45309;
9.00655;0.411128;2.44167;
9.00656;0.409353;2.43045;
9.00657;0.40762;2.41947;
9.00658;0.405935;2.40877;
9.00659;0.404306;2.39839;
9.0066;0.402739;2.38837;
9.00661;0.40124;2.37875;
9.00662;0.399814;2.36958;
9.00663;0.398468;2.36089;
9.00664;0.397206;2.3527;
9.00665;0.396034;2.34506;
9.00666;0.394956;2.33799;
9.00667;0.393976;2.33152;
9.00668;0.393098;2.32568;
9.00669;0.392324;2.32048;
9.0067;0.391659;2.31596;
9.00671;0.391105;2.31211;
9.00672;0.390664;2.30897;
9.00673;0.390337;2.30654;
9.00674;0.390125;2.30483;
9.00675;0.39003;2.30385;
9.00676;0.390052;2.3036;
9.00677;0.390191;2.30408;
9.00678;0.390446;2.30529;
9.00679;0.390816;2.30723;
9.0068;0.3913;2.30989;
9.00681;0.391896;2.31325;
9.00682;0.392602;2.31732;
9.00683;0.393415;2.32206;
9.00684;0.394333;2.32746;
9.00685;0.39535;2.3335;
9.00686;0.396465;2.34017;
9.00687;0.397671;2.34742;
9.00688;0.398966;2.35524;
9.00689;0.400343;2.36359;
9.0069;0.401797;2.37244;
9.00691;0.403323;2.38176;
9.00692;0.404915;2.3915;
9.00693;0.406566;2.40164;
9.00694;0.40827;2.41213;
9.00695;0.410021;2.42292;
9.00696;0.411811;2.43399;
9.00697;0.413633;2.44527;
9.00698;0.41548;2.45674;
9.00699;0.417345;2.46833;
9.007;0.41922;2.48002;
9.00701;0.421096;2.49173;
9.00702;0.422969;2.50345;
9.00703;0.42483;2.51511;
9.00704;0.426672;2.52667;
9.00705;0.428486;2.53808;
9.00706;0.430266;2.5493;
9.00707;0.432004;2.56028;
9.00708;0.433695;2.57099;
9.00709;0.43533;2.58137;
9.0071;0.436904;2.59138;
9.00711;0.43841;2.601;
9.00712;0.439842;2.61017;
9.00713;0.441195;2.61887;
9.00714;0.442463;2.62705;
9.00715;0.443642;2.63469;
9.00716;0.444727;2.64176;
9.00717;0.445713;2.64823;
9.00718;0.446596;2.65407;
9.00719;0.447374;2.65927;
9.0072;0.448044;2.66379;
9.00721;0.448601;2.66764;
9.00722;0.449046;2.67078;
9.00723;0.449375;2.67321;
9.00724;0.449587;2.67492;
9.00725;0.449682;2.6759;
9.00726;0.449659;2.67615;
9.00727;0.449519;2.67567;
9.00728;0.449262;2.67446;
9.00729;0.448888;2.67252;
9.0073;0.4484;2.66986;
9.00731;0.4478;2.66649;
9.00732;0.447088;2.66243;
9.00733;0.446269;2.65769;
9.00734;0.445346;2.65229;
9.00735;0.444322;2.64624;
9.00736;0.443201;2.63958;
9.00737;0.441987;2.63233;
9.00738;0.440686;2.62451;
9.00739;0.439302;2.61616;
9.0074;0.437841;2.60731;
9.00741;0.436309;2.598;
9.00742;0.434711;2.58825;
9.00743;0.433054;2.57811;
9.00744;0.431345;2.56763;
9.00745;0.42959;2.55683;
9.00746;0.427797;2.54577;
9.00747;0.425972;2.53448;
9.00748;0.424122;2.52302;
9.00749;0.422257;2.51142;
9.0075;0.420382;2.49974;
9.00751;0.418505;2.48802;
9.00752;0.416634;2.4763;
9.00753;0.414776;2.46464;
9.00754;0.412938;2.45309;
9.00755;0.411127;2.44167;
9.00756;0.409352;2.43045;
9.00757;0.407619;2.41947;
9.00758;0.405934;2.40877;
9.00759;0.404305;2.39839;
9.0076;0.402738;2.38837;
9.00761;0.401239;2.37875;
9.00762;0.399813;2.36958;
9.00763;0.398467;2.36089;
9.00764;0.397205;2.3527;
9.00765;0.396033;2.34506;
9.00766;0.394955;2.33799;
9.00767;0.393975;2.33152;
9.00768;0.393097;2.32568;
9.00769;0.392323;2.32048;
9.0077;0.391658;2.31596;
9.00771;0.391104;2.31211;
9.00772;0.390663;2.30897;
9.00773;0.390336;2.30654;
9.00774;0.390124;2.30483;
9.00775;0.390029;2.30385;
9.00776;0.390051;2.3036;
9.00777;0.39019;2.30408;
9.00778;0.390445;2.30529;
9.00779;0.390815;2.30723;
9.0078;0.391299;2.30989;
9.00781;0.391895;2.31325;
9.00782;0.392601;2.31732;
9.00783;0.393414;2.32206;
9.00784;0.394332;2.32746;
9.00785;0.395349;2.3335;
9.00786;0.396464;2.34017;
9.00787;0.39767;2.34742;
9.00788;0.398965;2.35524;
9.00789;0.400342;2.36359;
9.0079;0.401796;2.37244;
9.00791;0.403322;2.38176;
9.00792;0.404914;2.3915;
9.00793;0.406565;2.40164;
9.00794;0.408269;2.41213;
9.00795;0.41002;2.42292;
9.00796;0.41181;2.43399;
9.00797;0.413632;2.44527;
9.00798;0.415479;2.45674;
9.00799;0.417344;2.46833;
9.008;0.419219;2.48002;
9.00801;0.421095;2.49173;
9.00802;0.422968;2.50345;
9.00803;0.424829;2.51511;
9.00804;0.426671;2.52667;
9.00805;0.428485;2.53808;
9.00806;0.430265;2.5493;
9.00807;0.432003;2.56028;
9.00808;0.433694;2.57099;
9.00809;0.435329;2.58137;
9.0081;0.436903;2.59139;
9.00811;0.438409;2.601;
9.00812;0.439841;2.61017;
9.00813;0.441194;2.61887;
9.00814;0.442462;2.62705;
9.00815;0.443641;2.63469;
9.00816;0.444726;2.64176;
9.00817;0.445712;2.64823;
9.00818;0.446596;2.65407;
9.00819;0.447373;2.65927;
9.0082;0.448043;2.66379;
9.00821;0.4486;2.66764;
9.00822;0.449045;2.67078;
9.00823;0.449374;2.67321;
9.00824;0.449586;2.67492;
9.00825;0.449681;2.6759;
9.00826;0.449658;2.67615;
