time;V(/OUT_N);V(/OUT_P);V(/OUT_SINGLE);V(/Vmid);
9.00264;6.61233;6.61577;6.20618;7.5;
9.00265;6.60584;6.60908;6.12204;7.5;
9.00266;6.59989;6.60292;6.0433;7.5;
9.00267;6.59449;6.5973;5.97026;7.5;
9.00268;6.58967;6.59224;5.90322;7.5;
9.00269;6.58545;6.58778;5.84245;7.5;
9.0027;6.58184;6.58392;5.78817;7.5;
9.00271;6.57886;6.58068;5.74061;7.5;
9.00272;6.57652;6.57807;5.69995;7.5;
9.00273;6.57483;6.57611;5.66635;7.5;
9.00274;6.5738;6.5748;5.63995;7.5;
9.00275;6.57343;6.57414;5.62084;7.5;
9.00276;6.57372;6.57414;5.6091;7.5;
9.00277;6.57467;6.57481;5.60479;7.5;
9.00278;6.57627;6.57612;5.6079;7.5;
9.00279;6.57853;6.57809;5.61845;7.5;
9.0028;6.58143;6.58071;5.63637;7.5;
9.00281;6.58496;6.58395;5.6616;7.5;
9.00282;6.5891;6.58782;5.69405;7.5;
9.00283;6.59385;6.59229;5.73358;7.5;
9.00284;6.59918;6.59735;5.78004;7.5;
9.00285;6.60506;6.60298;5.83324;7.5;
9.00286;6.61149;6.60915;5.89299;7.5;
9.00287;6.61843;6.61584;5.95903;7.5;
9.00288;6.62585;6.62303;6.03112;7.5;
9.00289;6.63372;6.63069;6.10896;7.5;
9.0029;6.64203;6.63878;6.19226;7.5;
9.00291;6.65072;6.64727;6.28068;7.5;
9.00292;6.65977;6.65614;6.37387;7.5;
9.00293;6.66914;6.66534;6.47147;7.5;
9.00294;6.6788;6.67485;6.57309;7.5;
9.00295;6.6887;6.68461;6.67833;7.5;
9.00296;6.69881;6.6946;6.78677;7.5;
9.00297;6.70909;6.70477;6.89799;7.5;
9.00298;6.71949;6.71509;7.01155;7.5;
9.00299;6.72999;6.72551;7.127;7.5;
9.003;6.74052;6.73599;7.24388;7.5;
9.00301;6.75106;6.74649;7.36174;7.5;
9.00302;6.76156;6.75697;7.48009;7.5;
9.00303;6.77197;6.76739;7.59849;7.5;
9.00304;6.78227;6.7777;7.71645;7.5;
9.00305;6.7924;6.78787;7.83352;7.5;
9.00306;6.80234;6.79786;7.94923;7.5;
9.00307;6.81203;6.80762;8.06313;7.5;
9.00308;6.82144;6.81712;8.17475;7.5;
9.00309;6.83053;6.82632;8.28368;7.5;
9.0031;6.83927;6.83518;8.38946;7.5;
9.00311;6.84762;6.84367;8.49169;7.5;
9.00312;6.85556;6.85176;8.58996;7.5;
9.00313;6.86304;6.85941;8.68389;7.5;
9.00314;6.87004;6.8666;8.7731;7.5;
9.00315;6.87653;6.87329;8.85724;7.5;
9.00316;6.88248;6.87945;8.93599;7.5;
9.00317;6.88788;6.88507;9.00902;7.5;
9.00318;6.8927;6.89013;9.07606;7.5;
9.00319;6.89693;6.89459;9.13683;7.5;
9.0032;6.90053;6.89845;9.19111;7.5;
9.00321;6.90351;6.90169;9.23867;7.5;
9.00322;6.90585;6.9043;9.27933;7.5;
9.00323;6.90754;6.90626;9.31293;7.5;
9.00324;6.90857;6.90758;9.33933;7.5;
9.00325;6.90895;6.90823;9.35844;7.5;
9.00326;6.90866;6.90823;9.37018;7.5;
