time;V(/OUT_N);V(/OUT_P);V(/OUT_SINGLE);V(/Vmid);
9.00271;0.511508;0.511733;2.22921;2.5;
9.00272;0.510829;0.511016;2.22413;2.5;
9.00273;0.51032;0.510467;2.2201;2.5;
9.00274;0.509982;0.51009;2.21713;2.5;
9.00275;0.509817;0.509884;2.21524;2.5;
9.00276;0.509825;0.509852;2.21442;2.5;
9.00277;0.510006;0.509993;2.21469;2.5;
9.00278;0.51036;0.510307;2.21605;2.5;
9.00279;0.510886;0.510792;2.21848;2.5;
9.0028;0.511581;0.511447;2.22198;2.5;
9.00281;0.512442;0.512269;2.22653;2.5;
9.00282;0.513466;0.513255;2.23213;2.5;
9.00283;0.51465;0.514401;2.23873;2.5;
9.00284;0.515989;0.515702;2.24633;2.5;
9.00285;0.517478;0.517155;2.25489;2.5;
9.00286;0.51911;0.518752;2.26438;2.5;
9.00287;0.520879;0.520489;2.27476;2.5;
9.00288;0.52278;0.522358;2.28598;2.5;
9.00289;0.524804;0.524351;2.29802;2.5;
9.0029;0.526943;0.526462;2.31081;2.5;
9.00291;0.529188;0.528682;2.32432;2.5;
9.00292;0.531533;0.531001;2.33847;2.5;
9.00293;0.533966;0.533412;2.35323;2.5;
9.00294;0.536478;0.535904;2.36854;2.5;
9.00295;0.53906;0.538468;2.38432;2.5;
9.00296;0.541701;0.541094;2.40052;2.5;
9.00297;0.544391;0.543771;2.41708;2.5;
9.00298;0.547119;0.546488;2.43393;2.5;
9.00299;0.549874;0.549235;2.451;2.5;
9.003;0.552646;0.552001;2.46822;2.5;
9.00301;0.555422;0.554775;2.48553;2.5;
9.00302;0.558194;0.557546;2.50286;2.5;
9.00303;0.560948;0.560302;2.52013;2.5;
9.00304;0.563674;0.563033;2.53729;2.5;
9.00305;0.566362;0.565729;2.55426;2.5;
9.00306;0.569001;0.568377;2.57097;2.5;
9.00307;0.57158;0.570968;2.58736;2.5;
9.00308;0.574089;0.573492;2.60336;2.5;
9.00309;0.576518;0.575938;2.61891;2.5;
9.0031;0.578857;0.578297;2.63395;2.5;
9.00311;0.581098;0.580559;2.64841;2.5;
9.00312;0.583231;0.582716;2.66225;2.5;
9.00313;0.585248;0.584758;2.67541;2.5;
9.00314;0.587141;0.586679;2.68783;2.5;
9.00315;0.588903;0.58847;2.69947;2.5;
9.00316;0.590526;0.590125;2.71028;2.5;
9.00317;0.592005;0.591636;2.72022;2.5;
9.00318;0.593333;0.592998;2.72924;2.5;
9.00319;0.594506;0.594206;2.73733;2.5;
9.0032;0.595518;0.595255;2.74444;2.5;
9.00321;0.596367;0.596141;2.75054;2.5;
9.00322;0.597048;0.596861;2.75562;2.5;
9.00323;0.597559;0.597411;2.75965;2.5;
9.00324;0.597898;0.59779;2.76262;2.5;
9.00325;0.598064;0.597996;2.76451;2.5;
9.00326;0.598055;0.598028;2.76533;2.5;
9.00327;0.597873;0.597886;2.76506;2.5;
9.00328;0.597518;0.597571;2.7637;2.5;
9.00329;0.596991;0.597085;2.76127;2.5;
9.0033;0.596294;0.596427;2.75777;2.5;
9.00331;0.595429;0.595603;2.75322;2.5;
9.00332;0.594402;0.594614;2.74762;2.5;
9.00333;0.593214;0.593464;2.74102;2.5;
